index|old_value|new_value|similarity
HP_0033040|The presence of autoantibodies in the serum that react to seven proteins that consist of a core of small nuclear ribonucleoprotein (snRNP) particles.|An autoantibody directed against the Smith antigen, which is associated with systemic lupus erythematosus (SLE) and used as a serological marker to assess disease activity.|1
HP_0034319|A vasculopathy in the central nervous system (CNS) following reactivation of varicella-zoster virus due to a productive viral infection of both large and small cerebral arteries.|A viral infection caused by the Varicella-Zoster Virus, characterized by primary infection leading to varicella (chickenpox) and potential reactivation causing herpes zoster (shingles), with associated neurological complications.|0
HP_0010699|A nuclear cataract with a triangular form.|A congenital cataract characterized by a triangular opacity in the nucleus of the lens, caused by a homozygous insertion mutation in the GJA8 gene, leading to a frame shift and the addition of 123 novel amino acids.|1
HP_6000302|A past medical history of wearing tight shoes, toe-box shoes, or high heel shoes.|A condition characterized by forefoot pain caused by nerve compression or entrapment, often diagnosed clinically and confirmed through imaging modalities like ultrasonography.|0
HP_0030770|A neural tube defect in which both the brain and spinal cord remain open to varying degrees.|A severe neural tube defect characterized by the complete failure of neural tube closure along the entire body axis, resulting in an open neural tube from the brain to the spine.|1
HP_0025405|A deficit in the ability to fixate eye movements in order to stabilize images on the retina|Fixational eye movements are small, involuntary eye movements that occur during visual fixation, including microsaccades, ocular drift, and ocular tremor, and are controlled by the same neuronal mechanisms as larger saccades.|0
HP_0032578|An epithelial lined cyst filled with gelatinous material. The gelatinous material commonly contains mucin, old blood, cholesterol, and ions. Most colloid cysts identified are currently asymptomatic and identified incidentally on imaging. When a colloid cyst does cause issues, it most commonly causes obstructive hydrocephalus.|A class of neoplasms located within the third ventricle of the brain, characterized by their origin, morphology, and potential to cause obstructive hydrocephalus, and diagnosed through neuroimaging and histopathological examination.|1
HP_0430110|Demonstration of an antigen specific to Cysticercosis in the bloodstream.|A parasitic infection of the central nervous system caused by the larval stage of Taenia solium, characterized by the presence of cysts in the brain and often diagnosed through imaging and serological tests.|0
HP_0033680|The most common form of astrocytoma (WHO Grade I) in childhood. These typically have MAPK signaling pathway abnormalities.|A type of childhood brain tumor characterized by MAPK pathway alterations, including recurrent activating mutations in FGFR1 and PTPN11, novel NTRK2 fusion genes, and BRAF activating changes.|1
HP_0031604|A developmental defect characterized by the lack of formation of the carotid canal, which normally is a circular aperture in the temporal bone of the skull through which the internal carotid artery and the carotid plexus of nerves traverse.|A rare congenital vascular anomaly characterized by the absence of the internal carotid artery, often associated with ipsilateral Horner’s syndrome, hypochromia iridum, and increased risk of cerebrovascular accidents, aneurysms, and subarachnoid hemorrhages due to compensatory collateral circulations.|0
HP_0034191|Increased peak systolic velocity of the fetal middle cerebral artery (MCA) as evaluated by Doppler ultrasound.|A non-invasive ultrasound measurement of the peak velocity of blood flow in the middle cerebral artery, used to predict fetal anaemia with high sensitivity and specificity.|1
HP_0500006|Inflammation of the urethra.|A medical condition characterized by inflammation of the urethra not caused by Neisseria gonorrhoeae, often associated with infections by pathogens such as Chlamydia trachomatis or Mycoplasma genitalium, and diagnosed through microscopy or nucleic acid amplification tests.|1
HP_6000240|The activity of concentration of pyrimidine 5-prime-nucleotidase (EC 3.1.3.5) in the blood circulation is below the lower limit of normal.|A hereditary condition characterized by the deficiency of pyrimidine 5' nucleotidase (P5'N-1), leading to hemolytic anemia, pyrimidine nucleotide accumulation, and basophilic stippling in erythrocytes.|0
HP_0032350|A increased concentration of sulfocysteine in the urine.|A rare autosomal recessive metabolic disorder characterized by neurological abnormalities, developmental delay, and biochemical findings such as elevated urinary sulfite and S-sulfocysteine, caused by mutations in the SUOX gene.|0
