original,pmid,common_ancestor,avg_distance
<HP_0033378>,10623675,<HP_0002795>,2.5
<HP_6000240>,11369620,<HP_0012379>,2.0
<HP_0410174>,15452153,<HP_0500020>,1.5
<HP_0012422>,16523225,<HP_0007376>,1.0
<HP_6000389>,17127733,<HP_0031979>,1.0
<HP_0025096>,17388999,<HP_0000118>,5.0
<HP_0032438>,18065693,<HP_0011875>,2.5
<HP_0010699>,18483562,<Thing>,6.0
<HP_6001157>,18597397,<HP_0000001>,5.0
<HP_0034306>,19043599,<HP_0004308>,1.0
<HP_0034383>,19580635,<HP_0010995>,2.0
<HP_6000295>,19779000,<HP_0033723>,1.0
<HP_6000302>,20934103,<HP_0000001>,4.0
<HP_0031604>,21339912,<HP_0000234>,3.5
<HP_0030770>,22095531,<HP_0045005>/22095531,1.0
<HP_0025277>,22798976,<HP_0000118>,4.5
<HP_0430110>,23265553,<HP_0000118>,5.0
<HP_0033680>,23817572,<HP_0009592>,1.5
<HP_0012816>,23921774,<HP_0001638>,1.5
<HP_0033275>,23957425,<HP_0012575>,4.5
<HP_0005184>,24097136,<HP_0031547>/24097136,1.0
<HP_0025516>,24605242,<HP_0011641>/24605242,0.5
<HP_0034185>,25535458,<HP_0000161>/25535458,0.5
<HP_0034581>,26162928,<HP_0000118>,7.0
<HP_0100636>,26215714,<HP_0100634>,2.0
<HP_0500006>,26220178,<HP_0000118>,5.5
<HP_0031689>,27127725,<HP_0001871>,3.0
<HP_0025343>,27331311,<HP_0030057>,1.5
<HP_0034998>,27504194,<HP_0011004>,2.0
<HP_0034191>,28191060,<HP_0034059>,2.0
<HP_0025405>,28242738,<HP_0000496>,2.5
<HP_6000956>,28492007,<HP_0000951>,3.5
<HP_0410148>,28890861,<HP_0100326>,2.0
<HP_0032465>,28904941,<HP_0000014>,2.5
<HP_0032350>,28980090,<HP_0001939>,4.5
<HP_0020222>,29018201,<HP_0000118>,8.0
<HP_0033523>,29024992,<HP_0000078>,5.0
<HP_0025636>,29960704,<HP_0000130>,3.0
<HP_0410249>,29986992,<HP_0010978>,4.0
<HP_0034319>,30400213,<HP_0032101>,3.5
<HP_0032578>,30542631,<HP_0002118>,2.5
<HP_0034418>,30693460,<HP_0011830>,2.0
<HP_0032928>,31182505,<HP_0002011>,2.5
<HP_0033040>,31552434,<HP_0030057>,2.5
<HP_6001167>,33552228,<HP_0000834>,2.0
<HP_0034324>,33743755,<HP_0033353>,2.5
<HP_6000517>,34382226,<HP_0000118>,5.5
<HP_0034312>,34630163,<HP_0002795>,4.0
<HP_6001161>,35181482,<HP_0030956>,4.0
<HP_6001073>,37184762,<HP_0005162>,2.0
