index|old_value|new_value|similarity
HP_0033040|Anti-Smith autoantibody|Anti-Smith antibody|1
HP_0034319||VZV infection|0
HP_0010699||recessive triangular cataract|0
HP_6000302||interdigital neuroma; interdigital neuritis|0
HP_0030770||CRN|0
HP_0025405|Instability of ocular fixation|fixational eye movements; microsaccades|1
HP_0032578|||1
HP_0430110||NCC|0
HP_0033680|||1
HP_0031604|Bony carotid canal agenesis|Agenesis of the ICA|0
HP_0034191||MCA-PSV|0
HP_0500006||NGU|0
HP_6000240||P5'N-1 deficiency|0
HP_0032350||ISOD|0
HP_0025343||LAC|0
HP_0034312|Sleep hypoxemia;Sleep-related hypoxemia||0
HP_6001161||PRWP|0
HP_6000389|||1
HP_0034306|||1
HP_0005184|||1
HP_0034383||green jaundice|0
HP_0031689|Dysmegakaryopoiesis||0
HP_0100636||pulmonary paraganglioma|0
HP_0025636|Endometrial inflammation;Inflammation of the inner lining of the uterus|CE|0
HP_6000517||monolysocardiolipin to cardiolipin ratio|0
HP_6001157|History of frequent kneeling||0
HP_6001167|Elongated adrenal gland;Lying down adrenal gland;Lying down adrenal sign;Pancake adrenal gland;Straight adrenal gland||0
HP_6000956|Hypergranulating wound;Overgranulation|EBDASI|0
HP_0034998||SFA duplication|0
HP_0410249|Increased anti-galactose-alpha-1, 3 galactose IgE antibody level|galactose-α-1,3-galactose allergy; mammalian meat allergy|1
HP_0034185||median pseudocleft lip|0
HP_0034324|Dilatated brachiocephalic artery;Innominate artery aneurysm|TA|0
HP_0033523|||1
HP_0032465|Trabecular bladder|RIOAB; idiopathic refractory detrusor overactivity|0
HP_0032438||macrothrombocytopenia|0
HP_6000295||recanalized falcine sinus|0
HP_0034581|Trypanosoma cruzi present on peripheral blood smear|CCM|0
HP_0034418|Oral mucosa erythema|vascular-appearing alterations; red oral mucosal lesions|1
HP_0410148|||1
HP_0033378||airway repair; epithelial regeneration|0
HP_0032928|Elevated CSF neurofilament light chain|plasma NfL; CSF NfL|1
HP_0025277||auriculotemporal syndrome; gustatory sweating|0
HP_6001073||LV apical dyskinesis|0
HP_0025516||Coronary artery fistula|0
HP_0020222|Lower blood homocysteine|white matter lesions|0
HP_0025096||Wallenberg’s syndrome|0
HP_0410174|Increased troponin T level in blood|cTnT; cTnI|0
HP_0012816||RV-NCCM|0
HP_0012422|Choroid plexus hypertrophy|DVHCP; villous hypertrophy of the choroid plexus|1
HP_0033275||TRIs|0
