index|old_value|new_value|similarity
HP_0033040|||1
HP_0034319||postherpetic neuralgia; VZV vasculopathy; VZV encephalitis|0
HP_0010699|||1
HP_6000302|||1
HP_0030770|||1
HP_0025405|||1
HP_0032578||colloid cysts; choroid plexus papillomas; ependymomas|0
HP_0430110||single-lesional NCC; extraparenchymal NCC; intraparenchymal NCC|0
HP_0033680||pediatric glioblastoma|0
HP_0031604|||1
HP_0034191|||1
HP_0500006|||1
HP_6000240|||1
HP_0032350|||1
HP_0025343|||1
HP_0034312|||1
HP_6001161|||1
HP_6000389|||1
HP_0034306|||1
HP_0005184|||1
HP_0034383|||1
HP_0031689||micro-megakaryocytes; dysplastic megakaryocytes|0
HP_0100636|||1
HP_0025636||chronic granulomatous endometritis|0
HP_6000517|||1
HP_6001157||Patellofemoral joint cartilage morphology; Medial tibiofemoral joint cartilage morphology|0
HP_6001167|||1
HP_6000956|||1
HP_0034998|||1
HP_0410249||cetuximab hypersensitivity|0
HP_0034185|||1
HP_0034324|||1
HP_0033523||primary ciliary dyskinesia; dysplasia of fibrous sheath|0
HP_0032465|||1
HP_0032438|||1
HP_6000295||duplication of the falcine sinus|0
HP_0034581|||1
HP_0034418|||1
HP_0410148||idiopathic anaphylaxis-frequent; idiopathic anaphylaxis-infrequent|0
HP_0033378||naphthalene injury; ozone injury|0
HP_0032928|||1
HP_0025277|||1
HP_6001073|||1
HP_0025516|||1
HP_0020222|||1
HP_0025096|||1
HP_0410174|||1
HP_0012816|||1
HP_0012422|||1
HP_0033275|||1
