index|old_value|new_value|similarity
HP_0033040|||1
HP_0034319||herpes zoster; chickenpox|0
HP_0010699||congenital cataracts; autosomal recessive cataract|0
HP_6000302||nerve compression syndrome|0
HP_0030770||neural tube defect; NTDs|0
HP_0025405||ocular drift; ocular tremor|0
HP_0032578||intraventricular tumors; posterior third ventricle tumors|0
HP_0430110||cysticercosis|0
HP_0033680||childhood brain tumor; midline tumors|0
HP_0031604||Carotid canal hypoplasia|0
HP_0034191||fetal haemodynamic assessment|0
HP_0500006||idiopathic urethritis; pathogen-negative NGU|0
HP_6000240||hemolytic anemia; autosomal recessive condition|0
HP_0032350||sulfite oxidase deficiency|0
HP_0025343||antiphospholipid syndrome (APS)|0
HP_0034312||sleep-disordered breathing; hypoxemia|0
HP_6001161||delayed QRS transition|0
HP_6000389||inborn errors of carbohydrate metabolism; galactosemia|0
HP_0034306||extrasystolic beat; fusion beats|0
HP_0005184||prolonged QT interval|0
HP_0034383||biliverdin reductase-A gene mutation; liver cirrhosis|0
HP_0031689||megakaryocytic dysplasia|0
HP_0100636||neuroendocrine carcinoma|0
HP_0025636||endometrial inflammation; uterine inflammation|0
HP_6000517||mitochondrial phospholipid remodeling|0
HP_6001157||Cartilage degeneration; Cartilage integrity|0
HP_6001167||adrenal cysts; adrenal lesions|0
HP_6000956||Quality of Life in EB score|0
HP_0034998||anatomical variation; femoral artery plexus|0
HP_0410249||delayed anaphylactic reaction|0
HP_0034185||cleft lip and palate|0
HP_0034324||chronic inflammation; aortic wall thickening|0
HP_0033523||sperm motility defects; asthenozoospermia|0
HP_0032465||overactive bladder|0
HP_0032438||inherited thrombocytopenias; platelet disorder|0
HP_6000295||falcine sinus; sagittal plexus|0
HP_0034581||Chagas heart disease|0
HP_0034418||vascular anomalies|0
HP_0410148||corticosteroid-dependent idiopathic anaphylaxis|0
HP_0033378||lung injury|0
HP_0032928||neurodegeneration marker|0
HP_0025277||hyperhidrosis|0
HP_6001073||wall motion abnormalities; apical outpouching|0
HP_0025516||Coronary-pulmonary artery fistula|0
HP_0020222||neurological symptoms|0
HP_0025096||medullary ischemia|0
HP_0410174||myocardial damage markers|0
HP_0012816||arrhythmogenic right ventricular cardiomyopathy; hypertrabeculation|0
HP_0012422|Diffuse villous hypertrophy of choroid plexus|overproduction hydrocephalus|0
HP_0033275||endothelial tubuloreticular inclusions|0
