index|old_value|new_value|similarity
HP_0033040|Anti-Sm antibody positivity|Anti-Sm antibody|1
HP_0034319|CNS vasculitis with reactivation of varicella-zoster virus|Varicella-Zoster Virus (VZV) infection|0
HP_0010699|Triangular nuclear cataract|Triangular nuclear cataract|1
HP_6000302|History of compressive footwear|Morton’s neuroma|0
HP_0030770|Craniorachischisis|craniorachischisis|1
HP_0025405|Visual fixation instability|Fixational eye movements|1
HP_0032578|Third ventricle colloid cyst|Third ventricle tumors|0
HP_0430110|Positive bloodstream Cysticercosis antigen test|Neurocysticercosis|0
HP_0033680|Pilocytic astrocytoma|pilocytic astrocytoma|1
HP_0031604|Agenesis of the carotid canal|Congenital agenesis of the internal carotid artery|1
HP_0034191|Elevated fetal middle cerebral artery peak systolic velocity|Middle cerebral artery peak systolic velocity|0
HP_0500006|Urethritis|non-gonococcal urethritis|1
HP_6000240|Reduced circulating pyrimidine 5-prime-nucleotidase activity|Pyrimidine 5' nucleotidase (P5'N-1) deficiency|1
HP_0032350|Sulfocysteinuria|Isolated sulfite oxidase deficiency|0
HP_0025343|Lupus anticoagulant|Lupus anticoagulant (LAC)|1
HP_0034312|Nocturnal hypoxemia|nocturnal hypoxemia|1
HP_6001161|Poor R-wave progression|Poor R-wave progression|1
HP_6000389|Non-glucose reducing substance in urine|Reducing substances in urine|0
HP_0034306|Ventricular bigeminy|Ventricular bigeminy|1
HP_0005184|Prolonged QTc interval|QTc interval|1
HP_0034383|Elevated circulating biliverdin concentration|Hyperbiliverdinaemia|1
HP_0031689|Megakaryocyte dysplasia|Dys-megakaryopoiesis|1
HP_0100636|Pulmonary paraglioma|primary paraganglioma of the lung|1
HP_0025636|Endometritis|chronic endometritis|0
HP_6000517|Elevated monolysocardiolipin/cardiolipin ratio|MLCL/CL ratio|1
HP_6001157|Occupational exposure to frequent kneeling|Cartilage morphology|0
HP_6001167|Discoid adrenal gland|Adrenal haemorrhage|0
HP_6000956|Exuberant granulation tissue|EB Disease Activity and Scarring Index|0
HP_0034998|Femoral artery duplication|Duplication of the superficial femoral artery|1
HP_0410249|Increased anti-alpha-gal IgE antibody level|α-gal allergy|1
HP_0034185|Median pseudocleft lip|Median cleft lip|1
HP_0034324|Brachiocephalic artery aneurysm|Takayasu arteritis|0
HP_0033523|Abnormal sperm principal piece morphology|Male infertility|0
HP_0032465|Bladder trabeculation|refractory idiopathic overactive bladder|0
HP_0032438|Platelet anisocytosis|Inherited macrothrombocytopenia|0
HP_6000295|Persistent falcine venous sinus|Persistent falcine sinus|1
HP_0034581|Bloodstream Trypanosoma cruzi|chronic chagasic cardiomyopathy|0
HP_0034418|Erythematous oral mucosa|Erythematous lesions|0
HP_0410148|Idiopathic anaphylaxis|Idiopathic anaphylaxis|1
HP_0033378|Increased airway neuroepithelial bodies|airway epithelial injury and repair|0
HP_0032928|Elevated CSF neurofilament light chain concentration|Neurofilament light (NfL)|1
HP_0025277|Gustatory sweating|Frey syndrome|1
HP_6001073|Left ventricular apical dyskinesis|left ventricular apical dyskinesis|1
HP_0025516|Coronary-pulmonary artery fistula|Coronary-pulmonary fistula|1
HP_0020222|Hypohomocysteinemia|leukoencephalopathy|0
HP_0025096|Paroxysmal sneezing|Lateral medullary syndrome|0
HP_0410174|Increased circulating troponin T concentration|Cardiac troponins|1
HP_0012816|Right ventricular noncompaction cardiomyopathy|right ventricular noncompaction cardiomyopathy|1
HP_0012422|Villous hypertrophy of choroid plexus|Diffuse villous hyperplasia of the choroid plexus|1
HP_0033275|Glomerular endothelial tubuloreticular inclusion|Tubuloreticular inclusions|1
